ID,Tipo_Servico,Categoria,Status,Departamento,Cliente,Data_Abertura,Hora_Abertura,Tempo_Resolucao_Horas,SLA_Contratado_Horas,Dentro_SLA,Satisfacao_Cliente,Complexidade,Responsavel
5598,Manutenção,Baixa Prioridade,Pendente,Financeiro,Cliente D,2025-02-15,10:50,16,24,Sim,2,Média,Tecnico_7
7106,Solicitação de Serviço,Média Prioridade,Pendente,RH,Cliente E,2025-01-12,18:56,59,96,Sim,1,Alta,Tecnico_11
1239,Atendimento ao Cliente,Baixa Prioridade,Pendente,RH,Cliente C,2025-04-14,9:03,158,48,Não,2,Baixa,Tecnico_17
6179,Suporte Técnico,Alta Prioridade,Pendente,RH,Cliente D,2025-03-24,10:13,225,24,Não,1,Alta,Tecnico_14
5607,Atendimento ao Cliente,Baixa Prioridade,Resolvido,TI,Cliente D,2025-02-13,8:22,86,48,Não,1,Alta,Tecnico_17
4093,Manutenção,Alta Prioridade,Cancelado,RH,Cliente E,2025-03-04,16:51,36,24,Não,4,Média,Tecnico_18
8292,Manutenção,Baixa Prioridade,Cancelado,Operações,Cliente A,2025-06-03,11:29,110,72,Não,3,Alta,Tecnico_16
4195,Atendimento ao Cliente,Baixa Prioridade,Cancelado,Financeiro,Cliente B,2025-04-27,14:08,19,24,Sim,3,Alta,Tecnico_11
8674,Atendimento ao Cliente,Média Prioridade,Resolvido,TI,Cliente B,2024-12-20,8:13,82,72,Não,5,Média,Tecnico_15
4702,Manutenção,Média Prioridade,Em Andamento,Comercial,Cliente E,2024-12-23,13:47,216,72,Não,1,Alta,Tecnico_8
5231,Incidente Crítico,Baixa Prioridade,Resolvido,TI,Cliente A,2025-01-13,14:29,82,72,Não,4,Média,Tecnico_5
4294,Atendimento ao Cliente,Alta Prioridade,Em Andamento,TI,Cliente B,2025-01-01,11:00,127,72,Não,5,Baixa,Tecnico_7
6111,Solicitação de Serviço,Alta Prioridade,Cancelado,Financeiro,Cliente B,2025-05-03,17:36,111,24,Não,3,Alta,Tecnico_1
1728,Incidente Crítico,Média Prioridade,Cancelado,Financeiro,Cliente B,2024-12-21,15:21,153,24,Não,2,Alta,Tecnico_7
8814,Incidente Crítico,Alta Prioridade,Cancelado,TI,Cliente D,2025-03-21,8:23,183,24,Não,2,Média,Tecnico_12
3097,Solicitação de Serviço,Baixa Prioridade,Resolvido,Comercial,Cliente A,2025-02-18,18:38,64,24,Não,3,Média,Tecnico_13
